"area_sqrt","Framework","Scheme","variable","value"
42.3691589610531,"georob",2,"p_mu",258781.999599616
93.35994910608,"georob",2,"p_mu",105754.379361473
144.350739251048,"georob",2,"p_mu",72483.8205916525
195.341529396075,"georob",2,"p_mu",55248.8004410159
246.332319541101,"georob",2,"p_mu",44839.0511976526
42.3691589610531,"georob",1,"p_mu",25993.7626693003
93.35994910608,"georob",1,"p_mu",24906.3668679676
144.350739251048,"georob",1,"p_mu",25316.1954578819
195.341529396075,"georob",1,"p_mu",26559.5362807937
246.332319541101,"georob",1,"p_mu",27613.0951839469
42.3691589610531,"georob",2,"RMSPE_mu",29198.7660806898
93.35994910608,"georob",2,"RMSPE_mu",6630.46181066743
144.350739251048,"georob",2,"RMSPE_mu",3372.31510493648
195.341529396075,"georob",2,"RMSPE_mu",2473.59136501778
246.332319541101,"georob",2,"RMSPE_mu",2421.96351105362
42.3691589610531,"georob",1,"RMSPE_mu",3587.68220083838
93.35994910608,"georob",1,"RMSPE_mu",2000.38940389328
144.350739251048,"georob",1,"RMSPE_mu",1337.16566383142
195.341529396075,"georob",1,"RMSPE_mu",1113.02388820901
246.332319541101,"georob",1,"RMSPE_mu",1133.67713105499
